State,Date,Pop_density,Case,Death,Cum_case,Cum_death,Order_stay,Order_mask,Unemp_num
Alabama,2020/3/1,95.00639423,0,0,0,0,No,No,1575
Alabama,2020/3/2,95.00639423,0,0,0,0,No,No,1575
Alabama,2020/3/3,95.00639423,0,0,0,0,No,No,1575
Alabama,2020/3/4,95.00639423,0,0,0,0,No,No,1663
Alabama,2020/3/5,95.00639423,0,0,0,0,No,No,1663
Alabama,2020/3/6,95.00639423,0,0,0,0,No,No,1663
Alabama,2020/3/7,95.00639423,0,0,0,0,No,No,1663
Alabama,2020/3/8,95.00639423,0,0,0,0,No,No,1663
Alabama,2020/3/9,95.00639423,0,0,0,0,No,No,1663
Alabama,2020/3/10,95.00639423,0,0,0,0,No,No,1663
Alabama,2020/3/11,95.00639423,0,0,0,0,No,No,1819
Alabama,2020/3/12,95.00639423,0,0,0,0,No,No,1819
Alabama,2020/3/13,95.00639423,6,0,6,0,No,No,1819
Alabama,2020/3/14,95.00639423,6,0,12,0,No,No,1819
Alabama,2020/3/15,95.00639423,11,0,23,0,No,No,1819
Alabama,2020/3/16,95.00639423,6,0,29,0,No,No,1819
Alabama,2020/3/17,95.00639423,10,0,39,0,No,No,1819
Alabama,2020/3/18,95.00639423,12,0,51,0,No,No,10892
Alabama,2020/3/19,95.00639423,27,0,78,0,No,No,10892
Alabama,2020/3/20,95.00639423,28,0,106,0,No,No,10892
Alabama,2020/3/21,95.00639423,25,0,131,0,No,No,10892
Alabama,2020/3/22,95.00639423,26,0,157,0,No,No,10892
Alabama,2020/3/23,95.00639423,39,0,196,0,No,No,10892
Alabama,2020/3/24,95.00639423,46,0,242,0,No,No,10892
Alabama,2020/3/25,95.00639423,144,1,386,1,No,No,80984
Alabama,2020/3/26,95.00639423,152,2,538,3,No,No,80984
Alabama,2020/3/27,95.00639423,101,1,639,4,No,No,80984
Alabama,2020/3/28,95.00639423,81,0,720,4,No,No,80984
Alabama,2020/3/29,95.00639423,110,1,830,5,No,No,80984
Alabama,2020/3/30,95.00639423,117,6,947,11,No,No,80984
Alabama,2020/3/31,95.00639423,52,3,999,14,No,No,80984
Alabama,2020/4/1,95.00639423,109,14,1108,28,No,No,106739
Alabama,2020/4/2,95.00639423,162,4,1270,32,No,No,106739
Alabama,2020/4/3,95.00639423,265,6,1535,38,No,No,106739
Alabama,2020/4/4,95.00639423,97,6,1632,44,Yes,No,106739
Alabama,2020/4/5,95.00639423,208,1,1840,45,Yes,No,106739
Alabama,2020/4/6,95.00639423,165,8,2005,53,Yes,No,106739
Alabama,2020/4/7,95.00639423,192,11,2197,64,Yes,No,106739
Alabama,2020/4/8,95.00639423,301,3,2498,67,Yes,No,77515
Alabama,2020/4/9,95.00639423,340,11,2838,78,Yes,No,77515
Alabama,2020/4/10,95.00639423,170,2,3008,80,Yes,No,77515
Alabama,2020/4/11,95.00639423,254,13,3262,93,Yes,No,77515
Alabama,2020/4/12,95.00639423,321,0,3583,93,Yes,No,77515
Alabama,2020/4/13,95.00639423,222,11,3805,104,Yes,No,77515
Alabama,2020/4/14,95.00639423,148,10,3953,114,Yes,No,77515
Alabama,2020/4/15,95.00639423,288,9,4241,123,Yes,No,66432
Alabama,2020/4/16,95.00639423,163,14,4404,137,Yes,No,66432
Alabama,2020/4/17,95.00639423,168,14,4572,151,Yes,No,66432
Alabama,2020/4/18,95.00639423,151,-4,4723,147,Yes,No,66432
Alabama,2020/4/19,95.00639423,180,13,4903,160,Yes,No,66432
Alabama,2020/4/20,95.00639423,175,4,5078,164,Yes,No,66432
Alabama,2020/4/21,95.00639423,249,22,5327,186,Yes,No,66432
Alabama,2020/4/22,95.00639423,283,15,5610,201,Yes,No,74966
Alabama,2020/4/23,95.00639423,222,-4,5832,197,Yes,No,74966
Alabama,2020/4/24,95.00639423,194,12,6026,209,Yes,No,74966
Alabama,2020/4/25,95.00639423,187,4,6213,213,Yes,No,74966
Alabama,2020/4/26,95.00639423,208,6,6421,219,Yes,No,74966
Alabama,2020/4/27,95.00639423,118,9,6539,228,Yes,No,74966
Alabama,2020/4/28,95.00639423,211,14,6750,242,Yes,No,74966
Alabama,2020/4/29,95.00639423,175,20,6925,262,Yes,No,28985
Alabama,2020/4/30,95.00639423,143,10,7068,272,Yes,No,28985
Alabama,2020/5/1,95.00639423,226,17,7294,289,No,No,28985
Alabama,2020/5/2,95.00639423,317,-1,7611,288,No,No,28985
Alabama,2020/5/3,95.00639423,277,2,7888,290,No,No,28985
Alabama,2020/5/4,95.00639423,224,8,8112,298,No,No,28985
Alabama,2020/5/5,95.00639423,325,17,8437,315,No,No,28985
Alabama,2020/5/6,95.00639423,254,28,8691,343,No,No,26666
Alabama,2020/5/7,95.00639423,355,26,9046,369,No,No,26666
Alabama,2020/5/8,95.00639423,339,14,9385,383,No,No,26666
Alabama,2020/5/9,95.00639423,283,7,9668,390,No,No,26666
Alabama,2020/5/10,95.00639423,221,3,9889,393,No,No,26666
Alabama,2020/5/11,95.00639423,275,10,10164,403,No,No,26666
Alabama,2020/5/12,95.00639423,300,32,10464,435,No,No,26666
Alabama,2020/5/13,95.00639423,236,15,10700,450,No,No,25150
Alabama,2020/5/14,95.00639423,401,23,11101,473,No,No,25150
Alabama,2020/5/15,95.00639423,272,10,11373,483,No,No,25150
Alabama,2020/5/16,95.00639423,301,2,11674,485,No,No,25150
Alabama,2020/5/17,95.00639423,97,3,11771,488,No,No,25150
Alabama,2020/5/18,95.00639423,315,1,12086,489,No,No,25150
Alabama,2020/5/19,95.00639423,290,15,12376,504,No,No,25150
Alabama,2020/5/20,95.00639423,676,18,13052,522,No,No,27919
Alabama,2020/5/21,95.00639423,362,7,13414,529,No,No,27919
Alabama,2020/5/22,95.00639423,256,12,13670,541,No,No,27919
Alabama,2020/5/23,95.00639423,479,8,14149,549,No,No,27919
Alabama,2020/5/24,95.00639423,329,2,14478,551,No,No,27919
Alabama,2020/5/25,95.00639423,508,15,14986,566,No,No,27919
Alabama,2020/5/26,95.00639423,664,14,15650,580,No,No,27919
Alabama,2020/5/27,95.00639423,382,3,16032,583,No,No,21335
Alabama,2020/5/28,95.00639423,498,8,16530,591,No,No,21335
Alabama,2020/5/29,95.00639423,501,19,17031,610,No,No,21335
Alabama,2020/5/30,95.00639423,328,8,17359,618,No,No,21335
Alabama,2020/5/31,95.00639423,593,12,17952,630,No,No,21335
Alabama,2020/6/1,95.00639423,582,16,18534,646,No,No,21335
Alabama,2020/6/2,95.00639423,237,7,18771,653,No,No,21335
Alabama,2020/6/3,95.00639423,80,0,18851,653,No,No,19949
Alabama,2020/6/4,95.00639423,221,0,19072,653,No,No,19949
Alabama,2020/6/5,95.00639423,315,23,19387,676,No,No,19949
Alabama,2020/6/6,95.00639423,656,13,20043,689,No,No,19949
Alabama,2020/6/7,95.00639423,457,3,20500,692,No,No,19949
Alabama,2020/6/8,95.00639423,425,26,20925,718,No,No,19949
Alabama,2020/6/9,95.00639423,497,11,21422,729,No,No,19949
Alabama,2020/6/10,95.00639423,567,15,21989,744,No,No,18367
Alabama,2020/6/11,95.00639423,856,11,22845,755,No,No,18367
Alabama,2020/6/12,95.00639423,865,14,23710,769,No,No,18367
Alabama,2020/6/13,95.00639423,891,4,24601,773,No,No,18367
Alabama,2020/6/14,95.00639423,1014,0,25615,773,No,No,18367
Alabama,2020/6/15,95.00639423,657,1,26272,774,No,No,18367
Alabama,2020/6/16,95.00639423,640,11,26912,785,No,No,18367
Alabama,2020/6/17,95.00639423,400,5,27312,790,No,No,18671
Alabama,2020/6/18,95.00639423,894,20,28206,810,No,No,18671
Alabama,2020/6/19,95.00639423,796,12,29002,822,No,No,18671
Alabama,2020/6/20,95.00639423,547,16,29549,838,No,No,18671
Alabama,2020/6/21,95.00639423,472,1,30021,839,No,No,18671
Alabama,2020/6/22,95.00639423,433,2,30454,841,No,No,18671
Alabama,2020/6/23,95.00639423,643,23,31097,864,No,No,18671
Alabama,2020/6/24,95.00639423,967,27,32064,891,No,No,18338
Alabama,2020/6/25,95.00639423,1142,5,33206,896,No,No,18338
Alabama,2020/6/26,95.00639423,977,11,34183,907,No,No,18338
Alabama,2020/6/27,95.00639423,900,12,35083,919,No,No,18338
Alabama,2020/6/28,95.00639423,358,0,35441,919,No,No,18338
Alabama,2020/6/29,95.00639423,1734,10,37175,929,No,No,18338
Alabama,2020/6/30,95.00639423,870,21,38045,950,No,No,18338
Alabama,2020/7/1,95.00639423,917,22,38962,972,No,No,19056
Alabama,2020/7/2,95.00639423,1149,13,40111,985,No,No,19056
Alabama,2020/7/3,95.00639423,1754,21,41865,1006,No,No,19056
Alabama,2020/7/4,95.00639423,997,1,42862,1007,No,No,19056
Alabama,2020/7/5,95.00639423,1091,0,43953,1007,No,No,19056
Alabama,2020/7/6,95.00639423,925,0,44878,1007,No,No,19056
Alabama,2020/7/7,95.00639423,907,26,45785,1033,No,No,19056
Alabama,2020/7/8,95.00639423,1177,25,46962,1058,No,No,20563
Alabama,2020/7/9,95.00639423,2212,10,49174,1068,No,No,20563
Alabama,2020/7/10,95.00639423,1334,36,50508,1104,No,No,20563
Alabama,2020/7/11,95.00639423,1439,10,51947,1114,No,No,20563
Alabama,2020/7/12,95.00639423,1640,7,53587,1121,No,No,20563
Alabama,2020/7/13,95.00639423,1958,3,55545,1124,No,No,20563
Alabama,2020/7/14,95.00639423,1710,40,57255,1164,No,No,20563
Alabama,2020/7/15,95.00639423,1812,47,59067,1211,No,No,23676
Alabama,2020/7/16,95.00639423,2021,19,61088,1230,No,Yes,23676
Alabama,2020/7/17,95.00639423,2003,35,63091,1265,No,Yes,23676
Alabama,2020/7/18,95.00639423,2143,21,65234,1286,No,Yes,23676
Alabama,2020/7/19,95.00639423,1777,1,67011,1287,No,Yes,23676
Alabama,2020/7/20,95.00639423,1880,4,68891,1291,No,Yes,23676
Alabama,2020/7/21,95.00639423,1467,12,70358,1303,No,Yes,23676
Alabama,2020/7/22,95.00639423,1455,61,71813,1364,No,Yes,17437
Alabama,2020/7/23,95.00639423,2399,33,74212,1397,No,Yes,17437
Alabama,2020/7/24,95.00639423,1793,41,76005,1438,No,Yes,17437
Alabama,2020/7/25,95.00639423,2125,18,78130,1456,No,Yes,17437
Alabama,2020/7/26,95.00639423,1164,17,79294,1473,No,Yes,17437
Alabama,2020/7/27,95.00639423,1821,18,81115,1491,No,Yes,17437
Alabama,2020/7/28,95.00639423,1251,0,82366,1491,No,Yes,17437
Alabama,2020/7/29,95.00639423,1416,47,83782,1538,No,Yes,11690
Alabama,2020/7/30,95.00639423,1980,27,85762,1565,No,Yes,11690
Alabama,2020/7/31,95.00639423,1961,15,87723,1580,No,Yes,11690
Alabama,2020/8/1,95.00639423,1626,23,89349,1603,No,Yes,11690
Alabama,2020/8/2,95.00639423,2095,24,91444,1627,No,Yes,11690
Alabama,2020/8/3,95.00639423,1217,6,92661,1633,No,Yes,11690
Alabama,2020/8/4,95.00639423,1041,33,93702,1666,No,Yes,11690
Alabama,2020/8/5,95.00639423,952,29,94654,1695,No,Yes,9467
Alabama,2020/8/6,95.00639423,1938,19,96592,1714,No,Yes,9467
Alabama,2020/8/7,95.00639423,1709,21,98301,1735,No,Yes,9467
Alabama,2020/8/8,95.00639423,1872,20,100173,1755,No,Yes,9467
Alabama,2020/8/9,95.00639423,1161,13,101334,1768,No,Yes,9467
Alabama,2020/8/10,95.00639423,1686,29,103020,1797,No,Yes,9467
Alabama,2020/8/11,95.00639423,831,50,103851,1847,No,Yes,9467
Alabama,2020/8/12,95.00639423,935,35,104786,1882,No,Yes,11047
Alabama,2020/8/13,95.00639423,771,8,105557,1890,No,Yes,11047
Alabama,2020/8/14,95.00639423,752,3,106309,1893,No,Yes,11047
Alabama,2020/8/15,95.00639423,1271,3,107580,1896,No,Yes,11047
Alabama,2020/8/16,95.00639423,853,2,108433,1898,No,Yes,11047
Alabama,2020/8/17,95.00639423,571,27,109004,1925,No,Yes,11047
Alabama,2020/8/18,95.00639423,1357,11,110361,1936,No,Yes,11047
Alabama,2020/8/19,95.00639423,1117,8,111478,1944,No,Yes,8676
Alabama,2020/8/20,95.00639423,971,30,112449,1974,No,Yes,8676
Alabama,2020/8/21,95.00639423,1183,22,113632,1996,No,Yes,8676
Alabama,2020/8/22,95.00639423,900,15,114532,2011,No,Yes,8676
Alabama,2020/8/23,95.00639423,528,2,115060,2013,No,Yes,8676
Alabama,2020/8/24,95.00639423,1650,11,116710,2024,No,Yes,8676
Alabama,2020/8/25,95.00639423,532,13,117242,2037,No,Yes,8676
Alabama,2020/8/26,95.00639423,2012,8,119254,2045,No,Yes,8511
Alabama,2020/8/27,95.00639423,1769,31,121023,2076,No,Yes,8511
Alabama,2020/8/28,95.00639423,1162,31,122185,2107,No,Yes,8511
Alabama,2020/8/29,95.00639423,1704,45,123889,2152,No,Yes,8511
Alabama,2020/8/30,95.00639423,1346,10,125235,2162,No,Yes,8511
Alabama,2020/8/31,95.00639423,823,20,126058,2182,No,Yes,8511
Alabama,2020/9/1,95.00639423,1558,18,127616,2200,No,Yes,8511
Alabama,2020/9/2,95.00639423,623,17,128239,2217,No,Yes,8901
Alabama,2020/9/3,95.00639423,1046,16,129285,2233,No,Yes,8901
Alabama,2020/9/4,95.00639423,1108,33,130393,2266,No,Yes,8901
Alabama,2020/9/5,95.00639423,1410,9,131803,2275,No,Yes,8901
Alabama,2020/9/6,95.00639423,511,1,132314,2276,No,Yes,8901
Alabama,2020/9/7,95.00639423,659,0,132973,2276,No,Yes,8901
Alabama,2020/9/8,95.00639423,633,1,133606,2277,No,Yes,8901
Alabama,2020/9/9,95.00639423,811,8,134417,2285,No,Yes,8848
Alabama,2020/9/10,95.00639423,1148,16,135565,2301,No,Yes,8848
Alabama,2020/9/11,95.00639423,1138,32,136703,2333,No,Yes,8848
Alabama,2020/9/12,95.00639423,943,17,137646,2350,No,Yes,8848
Alabama,2020/9/13,95.00639423,1109,1,138755,2351,No,Yes,8848
Alabama,2020/9/14,95.00639423,704,4,139459,2355,No,Yes,8848
Alabama,2020/9/15,95.00639423,701,32,140160,2387,No,Yes,8848
Alabama,2020/9/16,95.00639423,927,5,141087,2392,No,Yes,8679
Alabama,2020/9/17,95.00639423,670,9,141757,2401,No,Yes,8679
Alabama,2020/9/18,95.00639423,1106,27,142863,2428,No,Yes,8679
Alabama,2020/9/19,95.00639423,1301,9,144164,2437,No,Yes,8679
Alabama,2020/9/20,95.00639423,798,0,144962,2437,No,Yes,8679
Alabama,2020/9/21,95.00639423,818,2,145780,2439,No,Yes,8679
Alabama,2020/9/22,95.00639423,804,18,146584,2457,No,Yes,8679
